Numéro de mesure,Longitude,Latitude,Position,Insee,Adresse,Complément,Code postal,Commune,Date de mesure,Mesure réalisée,Rapport,Conformité de la mesure,Niveau global,Type d'environnement,Laboratoire
115225,3.90757,43.65666,"03° 54' 27.26'' Est, 43° 39' 23.98'' Nord",34120,10 Rue du Mas Neuf,,34830,JACOU,9/7/2014,En intérieur,R_SO583_1_1PUB.pdf,Oui,0.18,Lieu d'habitation,EXEM
115456,3.89133,43.60802,"03° 53' 28.78'' Est, 43° 36' 28.86'' Nord",34172,50 Place Zeus,,34961,MONTPELLIER,29/7/2014,En intérieur,R_SO673_1_1PUB.pdf,Oui,2.53,Locaux professionnels non accessibles au public,EXEM
115853,3.21458,43.34346,"03° 12' 52.47'' Est, 43° 20' 36.46'' Nord",34032,20 Rue du 4 septembre,,34500,BEZIERS,11/8/2014,En intérieur,R_SO726_1_1PUB.pdf,Oui,0.20,Lieu d'habitation,EXEM
115857,3.21458,43.34346,"03° 12' 52.47'' Est, 43° 20' 36.46'' Nord",34032,20 Rue du 4 septembre,,34500,BEZIERS,11/8/2014,En intérieur,R_SO723_1_1PUB.pdf,Oui,0.14,Lieu d'habitation,EXEM
115859,3.21458,43.34346,"03° 12' 52.47'' Est, 43° 20' 36.46'' Nord",34032,20 Rue du 4 septembre,,34500,BEZIERS,11/8/2014,En intérieur,R_SO723_1_3PUB.pdf,Oui,0.13,Lieu d'habitation,EXEM
115863,3.21458,43.34346,"03° 12' 52.47'' Est, 43° 20' 36.46'' Nord",34032,20 Rue du 4 septembre,,34500,BEZIERS,11/8/2014,En intérieur,R_SO723_1_2PUB.pdf,Oui,0.12,Lieu d'habitation,EXEM
116139,3.67927,43.62566,"03° 40' 45.38'' Est, 43° 37' 32.36'' Nord",34282,39 Chemin de l'ancienne voie ferrée,,34570,SAINT-PAUL-ET-VALMALLE,1/9/2014,En intérieur,R_SO795_1_1PUB.pdf,Oui,0.18,Lieu d'habitation,EXEM
117591,3.83078,43.54838,"03° 49' 50.82'' Est, 43° 32' 54.16'' Nord",34337,770 Avenue du Moulin de la Jasse,,34750,VILLENEUVE-LES-MAGUELONE,31/10/2014,En intérieur,R_SO1048_1_1PUB.pdf,Oui,0.30,Lieu d'habitation,EXEM
117646,3.69640,43.41252,"03° 41' 47.04'' Est, 43° 24' 45.07'' Nord",34301,78 Place Cambon,,34200,SETE,31/10/2014,En intérieur,R_SO785_1_2PUB.pdf,Oui,0.14,"Etablissement ouvert au public (Ecole, Et Soins, Gare?)",EXEM
117797,3.88058,43.60451,"03° 52' 50.10'' Est, 43° 36' 16.22'' Nord",34172,Place August Gibert,,34011,MONTPELLIER,30/10/2014,En intérieur,R_SO785_1_1PUB.pdf,Oui,2.41,"Etablissement ouvert au public (Ecole, Et Soins, Gare?)",EXEM
118204,3.81814,43.63628,"03° 49' 05.29'' Est, 43° 38' 10.60'' Nord",34172,28 Avenue RAIMBAUD D'ORANGE,,34000,MONTPELLIER,5/3/2013,En intérieur,2 600 375_1_1 - Montpellier - casA - PUBLIC.pdf,Oui,1.69,"Etablissement ouvert au public (Ecole, Et Soins, Gare?)",BUREAU VERITAS
118276,3.46626,43.31706,"03° 27' 58.53'' Est, 43° 19' 01.41'' Nord",34003,Rue de la Digue,,34300,AGDE,4/11/2014,En intérieur,R_SO785_1_3PUB.pdf,Oui,0.22,"Etablissement ouvert au public (Ecole, Et Soins, Gare?)",EXEM
118283,3.21891,43.33648,"03° 13' 08.07'' Est, 43° 20' 11.32'' Nord",34032,14 Boulevard de Verdun,,34500,BEZIERS,5/11/2014,En intérieur,R_SO785_1_4PUB.pdf,Oui,0.06,"Etablissement ouvert au public (Ecole, Et Soins, Gare?)",EXEM
118339,3.23268,43.33673,"03° 13' 57.64'' Est, 43° 20' 12.23'' Nord",34032,16 Rue Louis Paulhan,,34500,BEZIERS,19/11/2014,En intérieur,R_SO1142_1_1PUB.pdf,Oui,0.75,Lieu d'habitation,EXEM
118422,3.93892,43.65192,"03° 56' 20.09'' Est, 43° 39' 06.92'' Nord",34090,1 Avenue des Cévènnes,,34920,LE CRES,20/11/2014,En intérieur,R_SO1043_1_1PUB.pdf,Oui,0.14,Lieu d'habitation,EXEM
118487,3.22762,43.35301,"03° 13' 39.44'' Est, 43° 21' 10.85'' Nord",34032,Rue du Rouat,,34500,BEZIERS,20/11/2014,En intérieur,R_SO1097_1_1PUB.pdf,Oui,2.81,Locaux professionnels non accessibles au public,EXEM
